Ticker,Company,Sector,MarketCapCategory,Group
RELIANCE.NS,Reliance Industries,Energy,LargeCap,Existing10
TCS.NS,Tata Consultancy Services,Information Technology,LargeCap,Existing10
ICICIBANK.NS,ICICI Bank,Financial Services,LargeCap,Existing10
M&M.NS,Mahindra & Mahindra,Automobile,LargeCap,Existing10
SUNPHARMA.NS,Sun Pharmaceutical Industries,Healthcare,LargeCap,Existing10
ITC.NS,ITC,Consumer Goods,LargeCap,Existing10
BEL.NS,Bharat Electronics,Capital Goods,LargeCap,Existing10
TATASTEEL.NS,Tata Steel,Metals,LargeCap,Existing10
BHARTIARTL.NS,Bharti Airtel,Telecom,LargeCap,Existing10
LT.NS,Larsen & Toubro,Capital Goods,LargeCap,Existing10
HDFCBANK.NS,HDFC Bank,Financial Services,LargeCap,Nifty50Additional
INFY.NS,Infosys,Information Technology,LargeCap,Nifty50Additional
SBIN.NS,State Bank of India,Financial Services,LargeCap,Nifty50Additional
HINDUNILVR.NS,Hindustan Unilever,Consumer Goods,LargeCap,Nifty50Additional
KOTAKBANK.NS,Kotak Mahindra Bank,Financial Services,LargeCap,Nifty50Additional
AXISBANK.NS,Axis Bank,Financial Services,LargeCap,Nifty50Additional
BAJFINANCE.NS,Bajaj Finance,Financial Services,LargeCap,Nifty50Additional
ASIANPAINT.NS,Asian Paints,Consumer Durables,LargeCap,Nifty50Additional
MARUTI.NS,Maruti Suzuki India,Automobile,LargeCap,Nifty50Additional
TITAN.NS,Titan Company,Consumer Durables,LargeCap,Nifty50Additional
ULTRACEMCO.NS,UltraTech Cement,Cement,LargeCap,Nifty50Additional
WIPRO.NS,Wipro,Information Technology,LargeCap,Nifty50Additional
ONGC.NS,Oil and Natural Gas Corporation,Energy,LargeCap,Nifty50Additional
NTPC.NS,NTPC,Power,LargeCap,Nifty50Additional
POWERGRID.NS,Power Grid Corporation of India,Power,LargeCap,Nifty50Additional
HCLTECH.NS,HCL Technologies,Information Technology,LargeCap,Nifty50Additional
TECHM.NS,Tech Mahindra,Information Technology,LargeCap,Nifty50Additional
NESTLEIND.NS,Nestle India,Consumer Goods,LargeCap,Nifty50Additional
JSWSTEEL.NS,JSW Steel,Metals,LargeCap,Nifty50Additional
HINDALCO.NS,Hindalco Industries,Metals,LargeCap,Nifty50Additional
COALINDIA.NS,Coal India,Energy,LargeCap,Nifty50Additional
ADANIENT.NS,Adani Enterprises,Diversified,LargeCap,Nifty50Additional
ADANIPORTS.NS,Adani Ports and SEZ,Infrastructure,LargeCap,Nifty50Additional
GRASIM.NS,Grasim Industries,Diversified,LargeCap,Nifty50Additional
CIPLA.NS,Cipla,Healthcare,LargeCap,Nifty50Additional
DRREDDY.NS,Dr. Reddy's Laboratories,Healthcare,LargeCap,Nifty50Additional
DIVISLAB.NS,Divi's Laboratories,Healthcare,LargeCap,Nifty50Additional
APOLLOHOSP.NS,Apollo Hospitals Enterprise,Healthcare,LargeCap,Nifty50Additional
BAJAJFINSV.NS,Bajaj Finserv,Financial Services,LargeCap,Nifty50Additional
HDFCLIFE.NS,HDFC Life Insurance,Financial Services,LargeCap,Nifty50Additional
SBILIFE.NS,SBI Life Insurance,Financial Services,LargeCap,Nifty50Additional
HEROMOTOCO.NS,Hero MotoCorp,Automobile,LargeCap,Nifty50Additional
EICHERMOT.NS,Eicher Motors,Automobile,LargeCap,Nifty50Additional
BRITANNIA.NS,Britannia Industries,Consumer Goods,LargeCap,Nifty50Additional
TATACONSUM.NS,Tata Consumer Products,Consumer Goods,LargeCap,Nifty50Additional
UPL.NS,UPL,Chemicals,LargeCap,Nifty50Additional
BPCL.NS,Bharat Petroleum Corporation,Energy,LargeCap,Nifty50Additional
IOC.NS,Indian Oil Corporation,Energy,LargeCap,Nifty50Additional
INDUSINDBK.NS,IndusInd Bank,Financial Services,LargeCap,Nifty50Additional
BAJAJ-AUTO.NS,Bajaj Auto,Automobile,LargeCap,Nifty50Additional
ABB.NS,ABB India,Capital Goods,LargeCap,NiftyNext50
ADANIENSOL.NS,Adani Energy Solutions,Power,LargeCap,NiftyNext50
ADANIGREEN.NS,Adani Green Energy,Power,LargeCap,NiftyNext50
